Year;Exports
1960;39.0431726
1961;46.24455689
1962;19.79387268
1963;24.68468205
1964;25.08405873
1965;22.60394356
1966;25.98619752
1967;23.43441677
1968;23.1356346
1969;23.78877682
1970;22.0727334
1971;18.44251915
1972;20.44956198
1973;25.503663
1974;38.74904361
1975;33.68893622
1976;33.05458393
1977;30.58656693
1978;25.53583672
1979;31.14830021
1980;34.33846147
1981;34.58725077
1982;30.92485632
1983;27.94180611
1984;25.71001618
1985;23.58393289
1986;12.85475734
1987;14.27247473
1988;15.50786788
1989;18.63926334
1990;23.44368508
1991;29.11782217
1992;25.31959428
1993;21.783877
1994;22.53072525
1995;26.19477598
1996;29.76044833
1997;30.90631138
1998;22.57835401
1999;28.1501165
2000;42.06971832
2001;36.68930475
2002;35.50453311
2003;38.24882911
2004;40.0532265
2005;47.20519324
2006;48.81068822
2007;47.06816355
2008;47.97334514
2009;35.37165064
2010;38.44454785
2011;38.78695388
2012;36.89054757
2013;33.20989779
2014;30.21911743
2015;23.17177829
2016;20.86001063
2017;22.63888685
