,price
0,43.17
1,36.24
2,34.64
3,33.76
4,33.08
5,32.37
6,34.66
7,38.97
8,42.9
9,45.29
10,46.57
11,46.45
12,45.01
13,42.51
14,41.13
15,43.5
16,55.36
17,62.73
18,58.08
19,55.43
20,49.33
21,44.32
22,42.19
23,39.23
24,42.48
25,36.94
26,33.81
27,32.54
28,31.16
29,30.67
30,36.07
31,35.19
32,35.9
33,39.44
34,39.97
35,40.54
36,40.39
37,39.86
38,39.39
39,41.1
40,53.75
41,68.77
42,66.65
43,62.84
44,56.55
45,47.56
46,40.47
47,40.33
48,39.7
49,36.75
50,33.87
51,33.79
52,34.28
53,40.5
54,49.9
55,55.53
56,54.03
57,55.44
58,58.89
59,58.53
60,54.75
61,51.65
62,51.11
63,51.46
64,61.69
65,76.0
66,68.47
67,78.12
68,62.25
69,51.06
70,46.4
71,45.98
72,41.3
73,38.79
74,37.83
75,36.53
76,36.79
77,41.48
78,50.09
79,54.54
80,52.81
81,55.22
82,58.05
83,54.95
84,54.79
85,53.17
86,53.14
87,52.51
88,55.35
89,69.7
90,66.17
91,61.28
92,62.35
93,53.09
94,45.42
95,44.76
96,40.14
97,39.33
98,37.25
99,36.42
100,36.4
101,39.44
102,50.33
103,62.07
104,62.12
105,62.74
106,63.0
107,61.27
108,60.38
109,56.47
110,59.39
111,58.9
112,64.19
113,86.52
114,80.22
115,68.11
116,64.2
117,62.65
118,50.02
119,47.94
120,43.84
121,40.57
122,39.75
123,38.67
124,37.67
125,41.14
126,50.32
127,62.0
128,62.01
129,63.34
130,65.06
131,63.88
132,58.58
133,61.63
134,57.45
135,58.87
136,67.47
137,100.28
138,83.48
139,73.18
140,68.44
141,62.48
142,55.26
143,47.08
144,45.53
145,41.53
146,40.54
147,37.76
148,38.28
149,43.66
150,55.16
151,65.74
152,63.41
153,66.16
154,67.9
155,68.52
156,66.05
157,65.31
158,63.9
159,61.63
160,68.26
161,75.45
162,72.02
163,70.93
164,62.23
165,53.62
166,48.42
167,46.12
168,49.22
169,42.69
170,40.33
171,39.81
172,39.38
173,40.31
174,45.96
175,49.38
176,47.13
177,65.63
178,63.15
179,59.4
180,57.63
181,52.38
182,49.78
183,49.77
184,63.0
185,89.04
186,84.0
187,79.28
188,74.24
189,63.73
190,52.65
191,49.85
192,55.39
193,48.37
194,44.9
195,42.47
196,42.13
197,42.59
198,48.74
199,48.76
200,48.45
201,52.87
202,53.32
203,54.53
204,53.07
205,49.43
206,48.26
207,49.81
208,57.71
209,81.79
210,79.82
211,78.74
212,71.26
213,62.37
214,51.7
