time;load
01.01.2022 00:00;44976
01.01.2022 00:15;44566
01.01.2022 00:30;44056
01.01.2022 00:45;43385
01.01.2022 01:00;42528
01.01.2022 01:15;42134
01.01.2022 01:30;41466
01.01.2022 01:45;41318
01.01.2022 02:00;41493
01.01.2022 02:15;40953
01.01.2022 02:30;40479
01.01.2022 02:45;40268
01.01.2022 03:00;39989
01.01.2022 03:15;39878
01.01.2022 03:30;39868
01.01.2022 03:45;39801
01.01.2022 04:00;39773
01.01.2022 04:15;39600
01.01.2022 04:30;39804
01.01.2022 04:45;39457
01.01.2022 05:00;39406
01.01.2022 05:15;39208
01.01.2022 05:30;39083
01.01.2022 05:45;38760
01.01.2022 06:00;38656
01.01.2022 06:15;38688
01.01.2022 06:30;38698
01.01.2022 06:45;38814
01.01.2022 07:00;39291
01.01.2022 07:15;39238
01.01.2022 07:30;39430
01.01.2022 07:45;39618
01.01.2022 08:00;40299
01.01.2022 08:15;40587
01.01.2022 08:30;40650
01.01.2022 08:45;40929
01.01.2022 09:00;42084
01.01.2022 09:15;42639
01.01.2022 09:30;43155
01.01.2022 09:45;43440
01.01.2022 10:00;43918
01.01.2022 10:15;44478
01.01.2022 10:30;44963
01.01.2022 10:45;45543
01.01.2022 11:00;46245
01.01.2022 11:15;46977
01.01.2022 11:30;47580
01.01.2022 11:45;47580
01.01.2022 12:00;47646
01.01.2022 12:15;47693
01.01.2022 12:30;48077
01.01.2022 12:45;47249
01.01.2022 13:00;46905
01.01.2022 13:15;46597
01.01.2022 13:30;46728
01.01.2022 13:45;46730
01.01.2022 14:00;46263
01.01.2022 14:15;46037
01.01.2022 14:30;46002
01.01.2022 14:45;46007
01.01.2022 15:00;46083
01.01.2022 15:15;45884
01.01.2022 15:30;45929
01.01.2022 15:45;46199
01.01.2022 16:00;46922
01.01.2022 16:15;47586
01.01.2022 16:30;48647
01.01.2022 16:45;49849
01.01.2022 17:00;51059
01.01.2022 17:15;51563
01.01.2022 17:30;52190
01.01.2022 17:45;52415
01.01.2022 18:00;52694
01.01.2022 18:15;52868
01.01.2022 18:30;52659
01.01.2022 18:45;52482
01.01.2022 19:00;52213
01.01.2022 19:15;51942
01.01.2022 19:30;51596
01.01.2022 19:45;50998
01.01.2022 20:00;50637
01.01.2022 20:15;50053
01.01.2022 20:30;49508
01.01.2022 20:45;49080
01.01.2022 21:00;48836
01.01.2022 21:15;48334
01.01.2022 21:30;48319
01.01.2022 21:45;48080
01.01.2022 22:00;48419
01.01.2022 22:15;48111
01.01.2022 22:30;47610
01.01.2022 22:45;47022
01.01.2022 23:00;46162
01.01.2022 23:15;45549
01.01.2022 23:30;44941
01.01.2022 23:45;43960
02.01.2022 00:00;43176
02.01.2022 00:15;42986
02.01.2022 00:30;43146
02.01.2022 00:45;42586
02.01.2022 01:00;42536
02.01.2022 01:15;41784
02.01.2022 01:30;41387
02.01.2022 01:45;41514
02.01.2022 02:00;41415
02.01.2022 02:15;41113
02.01.2022 02:30;41007
02.01.2022 02:45;40823
02.01.2022 03:00;40738
02.01.2022 03:15;40762
02.01.2022 03:30;40874
02.01.2022 03:45;41013
02.01.2022 04:00;41219
02.01.2022 04:15;40780
02.01.2022 04:30;41024
02.01.2022 04:45;41079
02.01.2022 05:00;41250
02.01.2022 05:15;40900
02.01.2022 05:30;40997
02.01.2022 05:45;41013
02.01.2022 06:00;40598
02.01.2022 06:15;40487
02.01.2022 06:30;40620
02.01.2022 06:45;40985
02.01.2022 07:00;41562
02.01.2022 07:15;42155
02.01.2022 07:30;42830
02.01.2022 07:45;43537
02.01.2022 08:00;44471
02.01.2022 08:15;45242
02.01.2022 08:30;46137
02.01.2022 08:45;46904
02.01.2022 09:00;48014
02.01.2022 09:15;48509
02.01.2022 09:30;48798
02.01.2022 09:45;49281
02.01.2022 10:00;50159
02.01.2022 10:15;50327
02.01.2022 10:30;51214
02.01.2022 10:45;51878
02.01.2022 11:00;52885
02.01.2022 11:15;54003
02.01.2022 11:30;54495
02.01.2022 11:45;54593
02.01.2022 12:00;55096
02.01.2022 12:15;54968
02.01.2022 12:30;54848
02.01.2022 12:45;54554
02.01.2022 13:00;54032
02.01.2022 13:15;53661
02.01.2022 13:30;53372
02.01.2022 13:45;53614
02.01.2022 14:00;53348
02.01.2022 14:15;53093
02.01.2022 14:30;52834
02.01.2022 14:45;52822
02.01.2022 15:00;53417
02.01.2022 15:15;53407
02.01.2022 15:30;53633
02.01.2022 15:45;53812
02.01.2022 16:00;54887
02.01.2022 16:15;55421
02.01.2022 16:30;55975
02.01.2022 16:45;57226
02.01.2022 17:00;58367
02.01.2022 17:15;58818
02.01.2022 17:30;59259
02.01.2022 17:45;59359
02.01.2022 18:00;59138
02.01.2022 18:15;59121
02.01.2022 18:30;59232
02.01.2022 18:45;58872
02.01.2022 19:00;58338
02.01.2022 19:15;57915
02.01.2022 19:30;57542
02.01.2022 19:45;56775
02.01.2022 20:00;56128
02.01.2022 20:15;55445
02.01.2022 20:30;54710
02.01.2022 20:45;54003
02.01.2022 21:00;53414
02.01.2022 21:15;53008
02.01.2022 21:30;52551
02.01.2022 21:45;52116
02.01.2022 22:00;52271
02.01.2022 22:15;51736
02.01.2022 22:30;50871
02.01.2022 22:45;49858
02.01.2022 23:00;49257
02.01.2022 23:15;48326
02.01.2022 23:30;47828
02.01.2022 23:45;47075
03.01.2022 00:00;46182
03.01.2022 00:15;45876
03.01.2022 00:30;45526
03.01.2022 00:45;44903
03.01.2022 01:00;44562
03.01.2022 01:15;44030
03.01.2022 01:30;43868
03.01.2022 01:45;43294
03.01.2022 02:00;42981
03.01.2022 02:15;42733
03.01.2022 02:30;42897
03.01.2022 02:45;42854
03.01.2022 03:00;43259
03.01.2022 03:15;43161
03.01.2022 03:30;43425
03.01.2022 03:45;43843
03.01.2022 04:00;44199
03.01.2022 04:15;44423
03.01.2022 04:30;44965
03.01.2022 04:45;46054
03.01.2022 05:00;47567
03.01.2022 05:15;48195
03.01.2022 05:30;48813
03.01.2022 05:45;50363
03.01.2022 06:00;53251
03.01.2022 06:15;54929
03.01.2022 06:30;56764
03.01.2022 06:45;58350
03.01.2022 07:00;60247
03.01.2022 07:15;61519
03.01.2022 07:30;62575
03.01.2022 07:45;63863
03.01.2022 08:00;64740
03.01.2022 08:15;65334
03.01.2022 08:30;65746
03.01.2022 08:45;66179
03.01.2022 09:00;66537
03.01.2022 09:15;66674
